FECHA,PLAZO,VALOR
2013-01-02,28,3.856249
2013-01-02,56,3.855554
2013-01-02,84,3.854859
2013-01-02,112,3.854165
2013-01-02,140,3.85347
2013-01-02,168,3.852775
2013-01-02,196,3.852081
2013-01-02,224,3.851386
2013-01-02,252,3.850691
2013-01-02,280,3.849997
2013-01-02,308,3.849302
2013-01-02,336,3.848608
2013-01-02,672,3.840272
2013-01-02,1008,3.831936
2013-01-02,1344,3.823601
2013-01-02,1680,3.815265
2013-01-02,2016,3.806929
2013-01-02,2352,3.798594
2013-01-02,2688,3.790258
2013-01-02,3024,3.781923
2013-01-02,3360,3.773587
2013-01-03,28,3.856249
2013-01-03,56,3.855554
2013-01-03,84,3.854859
2013-01-03,112,3.854165
2013-01-03,140,3.85347
2013-01-03,168,3.852775
2013-01-03,196,3.852081
2013-01-03,224,3.851386
2013-01-03,252,3.850691
2013-01-03,280,3.849997
2013-01-03,308,3.849302
2013-01-03,336,3.848608
2013-01-03,672,3.840272
2013-01-03,1008,3.831936
2013-01-03,1344,3.823601
2013-01-03,1680,3.815265
2013-01-03,2016,3.806929
2013-01-03,2352,3.798594
2013-01-03,2688,3.790258
2013-01-03,3024,3.781923
2013-01-03,3360,3.773587
2013-01-04,28,3.856249
2013-01-04,56,3.855554
2013-01-04,84,3.854859
2013-01-04,112,3.854165
2013-01-04,140,3.85347
2013-01-04,168,3.852775
2013-01-04,196,3.852081
2013-01-04,224,3.851386
2013-01-04,252,3.850691
2013-01-04,280,3.849997
2013-01-04,308,3.849302
2013-01-04,336,3.848608
2013-01-04,672,3.840272
2013-01-04,1008,3.831936
2013-01-04,1344,3.823601
2013-01-04,1680,3.815265
2013-01-04,2016,3.806929
2013-01-04,2352,3.798594
2013-01-04,2688,3.790258
2013-01-04,3024,3.781923
2013-01-04,3360,3.773587
2013-01-07,28,3.856249
2013-01-07,56,3.855554
2013-01-07,84,3.854859
2013-01-07,112,3.854165
2013-01-07,140,3.85347
2013-01-07,168,3.852775
2013-01-07,196,3.852081
2013-01-07,224,3.851386
2013-01-07,252,3.850691
2013-01-07,280,3.849997
2013-01-07,308,3.849302
2013-01-07,336,3.848608
2013-01-07,672,3.840272
2013-01-07,1008,3.831936
2013-01-07,1344,3.823601
2013-01-07,1680,3.815265
2013-01-07,2016,3.806929
2013-01-07,2352,3.798594
2013-01-07,2688,3.790258
2013-01-07,3024,3.781923
2013-01-07,3360,3.773587
2013-01-08,28,3.856249
2013-01-08,56,3.855554
2013-01-08,84,3.854859
2013-01-08,112,3.854165
2013-01-08,140,3.85347
2013-01-08,168,3.852775
2013-01-08,196,3.852081
2013-01-08,224,3.851386
2013-01-08,252,3.850691
2013-01-08,280,3.849997
2013-01-08,308,3.849302
2013-01-08,336,3.848608
2013-01-08,672,3.840272
2013-01-08,1008,3.831936
2013-01-08,1344,3.823601
2013-01-08,1680,3.815265
2013-01-08,2016,3.806929
2013-01-08,2352,3.798594
2013-01-08,2688,3.790258
2013-01-08,3024,3.781923
2013-01-08,3360,3.773587
2013-01-09,28,3.856249
2013-01-09,56,3.855554
2013-01-09,84,3.854859
2013-01-09,112,3.854165
2013-01-09,140,3.85347
2013-01-09,168,3.852775
2013-01-09,196,3.852081
2013-01-09,224,3.851386
2013-01-09,252,3.850691
2013-01-09,280,3.849997
2013-01-09,308,3.849302
2013-01-09,336,3.848608
2013-01-09,672,3.840272
2013-01-09,1008,3.831936
2013-01-09,1344,3.823601
2013-01-09,1680,3.815265
2013-01-09,2016,3.806929
2013-01-09,2352,3.798594
2013-01-09,2688,3.790258
2013-01-09,3024,3.781923
2013-01-09,3360,3.773587
2013-01-10,28,3.856249
2013-01-10,56,3.855554
2013-01-10,84,3.854859
2013-01-10,112,3.854165
2013-01-10,140,3.85347
2013-01-10,168,3.852775
2013-01-10,196,3.852081
2013-01-10,224,3.851386
2013-01-10,252,3.850691
2013-01-10,280,3.849997
2013-01-10,308,3.849302
2013-01-10,336,3.848608
2013-01-10,672,3.840272
2013-01-10,1008,3.831936
2013-01-10,1344,3.823601
2013-01-10,1680,3.815265
2013-01-10,2016,3.806929
2013-01-10,2352,3.798594
2013-01-10,2688,3.790258
2013-01-10,3024,3.781923
2013-01-10,3360,3.773587
2013-01-11,28,3.856249
2013-01-11,56,3.855554
2013-01-11,84,3.854859
2013-01-11,112,3.854165
2013-01-11,140,3.85347
2013-01-11,168,3.852775
2013-01-11,196,3.852081
2013-01-11,224,3.851386
2013-01-11,252,3.850691
2013-01-11,280,3.849997
2013-01-11,308,3.849302
2013-01-11,336,3.848608
2013-01-11,672,3.840272
2013-01-11,1008,3.831936
2013-01-11,1344,3.823601
2013-01-11,1680,3.815265
2013-01-11,2016,3.806929
2013-01-11,2352,3.798594
2013-01-11,2688,3.790258
2013-01-11,3024,3.781923
2013-01-11,3360,3.773587
2013-01-14,28,3.856249
2013-01-14,56,3.855554
2013-01-14,84,3.854859
2013-01-14,112,3.854165
2013-01-14,140,3.85347
2013-01-14,168,3.852775
2013-01-14,196,3.852081
2013-01-14,224,3.851386
2013-01-14,252,3.850691
2013-01-14,280,3.849997
2013-01-14,308,3.849302
2013-01-14,336,3.848608
2013-01-14,672,3.840272
2013-01-14,1008,3.831936
2013-01-14,1344,3.823601
2013-01-14,1680,3.815265
2013-01-14,2016,3.806929
2013-01-14,2352,3.798594
2013-01-14,2688,3.790258
2013-01-14,3024,3.781923
2013-01-14,3360,3.773587
2013-01-15,28,3.856249
2013-01-15,56,3.855554
2013-01-15,84,3.854859
2013-01-15,112,3.854165
2013-01-15,140,3.85347
2013-01-15,168,3.852775
2013-01-15,196,3.852081
2013-01-15,224,3.851386
2013-01-15,252,3.850691
