"Ticker","Exchange","financialCurrency","currentPrice","sharesOutstanding","sec_id"
"000040.KS","KSC","KRW",575,119756000,"sec_1"
"0001.HK","HKG","HKD",89.55,3857679872,"sec_2"
"000120.KS","KSC","KRW",143500,22812300,"sec_3"
"000270.KS","KSC","KRW",32100,400168992,"sec_4"
"0003.HK","HKG","HKD",15.8,15386399744,"sec_5"
"0004.HK","HKG","HKD",22.65,3047130112,"sec_6"
"0005.HK","HKG","USD",70.1,20269500416,"sec_7"
"000545.KS","KSC","KRW",5950,64242600,"sec_8"
"0006.HK","HKG","HKD",56.85,2134259968,"sec_9"
"000660.KS","KSC","KRW",74500,706001984,"sec_10"
"000720.KS","KSC","KRW",60300,111356000,"sec_11"
"000725.KS","KSC","KRW",246000,111356000,"sec_12"
"0008.HK","HKG","HKD",4.4,7707160064,"sec_13"
"000890.KS","KSC","KRW",799,96570496,"sec_14"
"000950.KS","KSC","KRW",21850,1139470,"sec_15"
"000970.KS","KSC","KRW",10300,21511000,"sec_16"
"000990.KS","KSC","KRW",16250,43178200,"sec_17"
"001020.KS","KSC","KRW",1220,54045100,"sec_18"
"001065.KS","KSC","KRW",27100,19482200,"sec_19"
"001067.KS","KSC","KRW",46550,19482200,"sec_20"
"0011.HK","HKG","HKD",207.2,1911840000,"sec_21"
"0012.HK","HKG","HKD",40.95,4401260032,"sec_22"
"001230.KS","KSC","KRW",7870,94087200,"sec_23"
"001440.KS","KSC","KRW",1220,856396992,"sec_24"
"001465.KS","KSC","KRW",136500,624607,"sec_25"
"001520.KS","KSC","KRW",1945,211195008,"sec_26"
"001525.KS","KSC","KRW",9750,205412992,"sec_27"
"001550.KS","KSC","KRW",34500,5191830,"sec_28"
"0016.HK","HKG","HKD",118.1,2897149952,"sec_29"
"001620.KS","KSC","KRW",1060,53312100,"sec_30"
"001680.KS","KSC","KRW",27400,34648000,"sec_31"
"0017.HK","HKG","HKD",10.52,10205299712,"sec_32"
"001740.KS","KSC","KRW",4575,240566000,"sec_33"
"001790.KS","KSC","KRW",22850,8840000,"sec_34"
"001800.KS","KSC","KRW",19900,60161900,"sec_35"
"001880.KS","KSC","KRW",14200,15179800,"sec_36"
"0019.HK","HKG","HKD",90.75,905206016,"sec_37"
"0020.HK","HKG","HKD",51.2,2047350016,"sec_38"
"002000.KS","KSC","KRW",53900,10079700,"sec_39"
"0021.HK","HKG","HKD",0.188,3312699904,"sec_40"
"002250.KS","KSC","KRW",27150,11857900,"sec_41"
"0023.HK","HKG","HKD",28.5,2807650048,"sec_42"
"002350.KS","KSC","KRW",10300,96163400,"sec_43"
"002460.KS","KSC","KRW",14200,11410200,"sec_44"
"0027.HK","HKG","HKD",53.5,4319830016,"sec_45"
"002790.KS","KSC","KRW",96100,76908400,"sec_46"
