"comp_id","Sector","Industry"
"comp_3827","Consumer Cyclical","Footwear & Accessories"
"comp_2153","Basic Materials","Chemicals"
"comp_11372","Basic Materials","Agricultural Inputs"
"comp_8649","Basic Materials","Industrial Metals & Minerals"
"comp_3407","Basic Materials","Aluminum"
"comp_11560","Basic Materials","Industrial Metals & Minerals"
"comp_2351","Consumer Cyclical","Lodging"
"comp_11591","Basic Materials","Industrial Metals & Minerals"
"comp_7888","Consumer Defensive","Farm Products"
"comp_422","Basic Materials","Steel"
"comp_291","Technology","Communication Equipment"
"comp_4203","Consumer Cyclical","Resorts & Casinos"
"comp_13162","Industrials","Tools & Accessories"
"comp_11054","Technology","Semiconductors"
"comp_45","Financial Services","Capital Markets"
"comp_3613","Technology","Software - Application"
"comp_5009","Financial Services","Asset Management"
"comp_12817","Basic Materials","Industrial Metals & Minerals"
"comp_8401","Industrials","Engineering & Construction"
"comp_10952","Basic Materials","Gold"
"comp_1725","Industrials","Industrial Distribution"
"comp_1338","Basic Materials","Industrial Metals & Minerals"
"comp_11652","Industrials","Security & Protection Services"
"comp_2943","Real Estate","Real Estate Services"
"comp_13306","Financial Services","Banks - Regional - US"
"comp_630","Financial Services","Banks - Global"
"comp_3224","Healthcare","Medical Instruments & Supplies"
"comp_12322","Industrials","Metal Fabrication"
"comp_1891","Technology","Internet Content & Information"
"comp_9478","Financial Services","Financial Exchanges"
"comp_4665","Consumer Defensive","Packaged Foods"
"comp_2080","Healthcare","Biotechnology"
"comp_8629","Basic Materials","Gold"
"comp_12520","Technology","Software - Application"
"comp_4377","Consumer Cyclical","Lodging"
"comp_3068","Financial Services","Banks - Global"
"comp_4430","Financial Services","Banks - Regional - US"
"comp_4877","Technology","Software - Application"
"comp_9384","Healthcare","Drug Manufacturers - Major"
"comp_12541","Healthcare","Medical Devices"
"comp_5084","Industrials","Engineering & Construction"
"comp_12730","Technology","Health Information Services"
"comp_2165","Utilities","Utilities - Independent Power Producers"
"comp_4495","Industrials","Integrated Shipping & Logistics"
"comp_8354","Basic Materials","Industrial Metals & Minerals"
"comp_9761","Technology","Computer Systems"
"comp_10460","Financial Services","Banks - Regional - US"
"comp_6202","Financial Services","Banks - Regional - US"
"comp_5365","Technology","Software - Application"
"comp_5393","Basic Materials","Specialty Chemicals"
"comp_5029","Technology","Software - Application"
"comp_1752","Industrials","Engineering & Construction"
"comp_12223","Financial Services","Asset Management"
"comp_5845","Consumer Cyclical","Apparel Stores"
"comp_2572","Industrials","Aerospace & Defense"
"comp_6483","Consumer Cyclical","Apparel Manufacturing"
"comp_5885","Financial Services","Insurance - Specialty"
"comp_3154","Technology","Electronic Gaming & Multimedia"
"comp_2273","Healthcare","Biotechnology"
"comp_12649","Financial Services","Insurance - Life"
"comp_2941","Healthcare","Drug Manufacturers - Major"
"comp_11254","Financial Services","Asset Management"
"comp_9942","Healthcare","Diagnostics & Research"
"comp_1063","Real Estate","REIT - Industrial"
"comp_1489","Energy","Oil & Gas Drilling"
"comp_1330","Technology","Information Technology Services"
"comp_11249","Technology","Solar"
"comp_383","Consumer Cyclical","Auto Parts"
"comp_2733","Technology","Communication Equipment"
"comp_6869","Consumer Defensive","Household & Personal Products"
"comp_11046","Basic Materials","Industrial Metals & Minerals"
"comp_6980","Financial Services","Insurance - Diversified"
"comp_7054","Consumer Defensive","Packaged Foods"
"comp_341","Technology","Consumer Electronics"
"comp_4489","Healthcare","Medical Instruments & Supplies"
"comp_13445","Industrials","Diversified Industrials"
"comp_5865","Consumer Cyclical","Apparel Stores"
"comp_7666","Technology","Solar"
"comp_10602","Consumer Cyclical","Leisure"
"comp_7669","Consumer Defensive","Packaged Foods"
"comp_8169","Consumer Cyclical","Specialty Retail"
"comp_13219","Real Estate","Real Estate Services"
"comp_4866","Industrials","Engineering & Construction"
"comp_8512","Financial Services","Insurance - Property & Casualty"
"comp_4336","Basic Materials","Gold"
"comp_4757","Healthcare","Biotechnology"
"comp_8874","Consumer Defensive","Beverages - Soft Drinks"
"comp_10056","Financial Services","Banks - Regional - US"
"comp_6947","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_7184","Technology","Information Technology Services"
"comp_7194","Basic Materials","Specialty Chemicals"
"comp_3196","Technology","Electronic Components"
"comp_11629","Consumer Cyclical","Packaging & Containers"
"comp_787","Healthcare","Drug Manufacturers - Major"
"comp_5409","Industrials","Rental & Leasing Services"
"comp_12072","Technology","Software - Application"
"comp_10057","Healthcare","Biotechnology"
"comp_12570","Consumer Cyclical","Home Furnishings & Fixtures"
"comp_12058","Consumer Cyclical","Publishing"
"comp_3165","Consumer Cyclical","Specialty Retail"
"comp_5010","Services","Specialty Retail, Other"
"comp_8104","Consumer Defensive","Grocery Stores"
"comp_5023","Basic Materials","Gold"
"comp_10363","Financial Services","Insurance - Life"
"comp_1506","Utilities","Utilities - Regulated Electric"
"comp_11552","Basic Materials","Building Materials"
"comp_1921","Healthcare","Medical Instruments & Supplies"
"comp_1432","Industrials","Airports & Air Services"
"comp_10781","Financial Services","Asset Management"
"comp_8942","Consumer Cyclical","Home Improvement Stores"
"comp_8357","Financial Services","Asset Management"
"comp_8802","Technology","Electronic Components"
"comp_1618","Basic Materials","Coal"
"comp_7956","Industrials","Engineering & Construction"
"comp_4390","Basic Materials","Steel"
"comp_11215","Basic Materials","Specialty Chemicals"
"comp_5240","Basic Materials","Gold"
"comp_8723","Basic Materials","Industrial Metals & Minerals"
"comp_3943","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_11455","Utilities","Utilities - Regulated Gas"
"comp_4215","Financial Services","Banks - Regional - US"
"comp_3759","Energy","Oil & Gas Integrated"
"comp_6734","Basic Materials","Industrial Metals & Minerals"
"comp_11366","Technology","Consumer Electronics"
"comp_10504","Real Estate","Real Estate Services"
"comp_10853","Consumer Cyclical","Luxury Goods"
"comp_12825","Technology","Semiconductor Equipment & Materials"
"comp_12215","Basic Materials","Building Materials"
"comp_9982","Industrials","Business Services"
"comp_4917","Healthcare","Medical Devices"
"comp_8675","Consumer Defensive","Food Distribution"
"comp_5204","Consumer Cyclical","Restaurants"
"comp_664","Technology","Internet Content & Information"
"comp_1118","Basic Materials","Gold"
"comp_511","Healthcare","Biotechnology"
"comp_9631","Consumer Cyclical","Leisure"
"comp_12241","Consumer Cyclical","Auto Manufacturers"
"comp_11580","Consumer Cyclical","Auto Parts"
"comp_4605","Healthcare","Medical Devices"
"comp_4325","Basic Materials","Gold"
"comp_5798","Consumer Defensive","Education & Training Services"
"comp_12305","Industrials","Shipping & Ports"
"comp_9516","Technology","Software - Application"
"comp_9804","Financial Services","Banks - Regional - US"
"comp_13152","Industrials","Diversified Industrials"
"comp_12900","Technology","Software - Application"
"comp_3838","Basic Materials","Coal"
"comp_4587","Communication Services","Telecom Services"
"comp_13283","Consumer Defensive","Grocery Stores"
"comp_10559","Industrials","Truck Manufacturing"
"comp_7052","Basic Materials","Industrial Metals & Minerals"
"comp_11175","Financial Services","Specialty Finance"
"comp_1569","Real Estate","Real Estate - General"
"comp_4560","Industrials","Staffing & Outsourcing Services"
"comp_11502","Financial Services","Insurance - Diversified"
"comp_9725","Consumer Cyclical","Leisure"
"comp_8416","Basic Materials","Chemicals"
"comp_7234","Energy","Oil & Gas Refining & Marketing"
"comp_12507","Consumer Cyclical","Auto Parts"
"comp_5192","Industrials","Business Services"
"comp_12308","Industrials","Diversified Industrials"
"comp_7754","Energy","Oil & Gas Refining & Marketing"
"comp_397","Consumer Cyclical","Resorts & Casinos"
"comp_1472","Consumer Cyclical","Auto Parts"
"comp_11471","Consumer Cyclical","Residential Construction"
"comp_898","Energy","Oil & Gas Refining & Marketing"
"comp_12309","Basic Materials","Building Materials"
"comp_13494","Consumer Cyclical","Specialty Retail"
"comp_5188","Consumer Cyclical","Auto Parts"
"comp_9327","Consumer Cyclical","Auto Manufacturers"
"comp_13382","Industrials","Conglomerates"
"comp_1658","Basic Materials","Chemicals"
"comp_10798","Consumer Cyclical","Apparel Stores"
"comp_11454","Consumer Cyclical","Specialty Retail"
"comp_7129","Consumer Cyclical","Gambling"
"comp_12074","Industrials","Engineering & Construction"
"comp_13421","Utilities","Utilities - Regulated Gas"
"comp_12211","Financial Services","Insurance - Property & Casualty"
"comp_12213","Consumer Cyclical","Home Furnishings & Fixtures"
"comp_7721","Financial Services","Credit Services"
"comp_12422","Consumer Cyclical","Apparel Manufacturing"
"comp_11534","Financial Services","Banks - Global"
"comp_11092","Consumer Cyclical","Auto Parts"
"comp_1263","Consumer Defensive","Beverages - Brewers"
"comp_9708","Technology","Software - Application"
"comp_9274","Utilities","Publishing"
"comp_8353","Real Estate","Real Estate Services"
"comp_7842","Technology","Scientific & Technical Instruments"
"comp_9498","Industrials","Diversified Industrials"
"comp_9298","Healthcare","Medical Devices"
"comp_4536","Financial Services","Banks - Regional - Asia"
"comp_9259","Technology","Electronic Gaming & Multimedia"
"comp_9037","Financial Services","Capital Markets"
"comp_8159","Basic Materials","Industrial Metals & Minerals"
"comp_2280","Consumer Cyclical","Department Stores"
"comp_2555","Basic Materials","Building Materials"
"comp_353","Healthcare","Diagnostics & Research"
"comp_8664","Financial Services","Banks - Regional - Asia"
"comp_12052","Consumer Cyclical","Media - Diversified"
"comp_10493","Basic Materials","Steel"
"comp_2713","Services","Shipping"
"comp_12337","Consumer Cyclical","Specialty Retail"
"comp_12114","Utilities","Utilities - Regulated Electric"
"comp_11571","Technology","Consumer Electronics"
"comp_13031","Consumer Defensive","Tobacco"
"comp_9721","Technology","Communication Equipment"
"comp_7933","Consumer Cyclical","Rubber & Plastics"
"comp_1871","Technology","Consumer Electronics"
"comp_11354","Healthcare","Drug Manufacturers - Specialty & Generic"
"comp_11310","Communication Services","Telecom Services"
"comp_9364","Financial Services","Capital Markets"
"comp_540","Industrials","Staffing & Outsourcing Services"
"comp_7719","Basic Materials","Chemicals"
"comp_755","Financial Services","Insurance - Diversified"
"comp_9418","Industrials","Trucking"
"comp_1889","Consumer Defensive","Farm Products"
"comp_12923","Basic Materials","Chemicals"
"comp_13557","Healthcare","Medical Care"
"comp_9081","Technology","Semiconductors"
"comp_2646","Real Estate","Real Estate - General"
"comp_5431","Consumer Cyclical","Leisure"
"comp_3156","Communication Services","Telecom Services"
"comp_1625","Basic Materials","Agricultural Inputs"
"comp_13090","Consumer Defensive","Education & Training Services"
"comp_4348","Consumer Defensive","Grocery Stores"
"comp_13411","Basic Materials","Specialty Chemicals"
"comp_6298","Technology","Electronic Components"
"comp_2727","Basic Materials","Copper"
"comp_1208","Basic Materials","Copper"
"comp_8481","Consumer Cyclical","Auto Manufacturers"
"comp_6858","Technology","Scientific & Technical Instruments"
"comp_1895","Industrials","Staffing & Outsourcing Services"
"comp_5626","Utilities","Utilities - Diversified"
"comp_8577","Basic Materials","Industrial Metals & Minerals"
"comp_12666","Real Estate","Real Estate - General"
"comp_6694","Industrials","Diversified Industrials"
"comp_3479","Basic Materials","Building Materials"
"comp_4531","Healthcare","Medical Care"
"comp_4591","Industrials","Trucking"
"comp_11856","Consumer Defensive","Farm Products"
"comp_2093","Financial Services","Capital Markets"
"comp_10181","Industrials","Security & Protection Services"
"comp_5501","Consumer Cyclical","Lodging"
