"sec_id","comp_id"
"sec_5627","comp_3827"
"sec_2886","comp_2153"
"sec_16912","comp_11372"
"sec_12688","comp_8649"
"sec_12687","comp_8649"
"sec_4937","comp_3407"
"sec_17210","comp_11560"
"sec_3234","comp_2351"
"sec_17254","comp_11591"
"sec_11574","comp_7888"
"sec_500","comp_422"
"sec_339","comp_291"
"sec_6257","comp_4203"
"sec_19733","comp_13162"
"sec_17002","comp_11054"
"sec_17001","comp_11054"
"sec_16449","comp_11054"
"sec_50","comp_45"
"sec_5260","comp_3613"
"sec_7392","comp_5009"
"sec_7363","comp_5009"
"sec_7662","comp_5009"
"sec_7661","comp_5009"
"sec_19149","comp_12817"
"sec_12357","comp_8401"
"sec_16267","comp_10952"
"sec_2261","comp_1725"
"sec_3720","comp_1725"
"sec_1635","comp_1338"
"sec_17336","comp_11652"
"sec_4233","comp_2943"
"sec_20021","comp_13306"
"sec_16636","comp_630"
"sec_731","comp_630"
"sec_17533","comp_630"
"sec_5501","comp_3224"
"sec_4678","comp_3224"
"sec_4680","comp_3224"
"sec_18390","comp_12322"
"sec_2497","comp_1891"
"sec_13947","comp_9478"
"sec_6875","comp_4665"
"sec_2762","comp_2080"
"sec_9000","comp_2080"
"sec_15232","comp_8629"
"sec_12657","comp_8629"
"sec_20295","comp_8629"
"sec_18702","comp_12520"
"sec_20367","comp_12520"
"sec_6474","comp_4377"
"sec_4618","comp_3068"
"sec_4615","comp_3068"
"sec_4616","comp_3068"
"sec_4604","comp_3068"
"sec_4602","comp_3068"
"sec_4405","comp_3068"
"sec_4579","comp_3068"
"sec_4603","comp_3068"
"sec_6559","comp_4430"
"sec_15649","comp_4430"
"sec_7161","comp_4877"
"sec_13792","comp_9384"
"sec_18731","comp_12541"
"sec_19132","comp_5084"
"sec_7457","comp_5084"
"sec_19133","comp_5084"
"sec_19024","comp_12730"
"sec_2905","comp_2165"
"sec_6648","comp_4495"
"sec_12274","comp_8354"
"sec_14416","comp_9761"
"sec_15462","comp_10460"
"sec_9097","comp_6202"
"sec_7901","comp_5365"
"sec_7941","comp_5393"
"sec_7387","comp_5029"
"sec_2304","comp_1752"
"sec_19786","comp_12223"
"sec_18237","comp_12223"
"sec_8586","comp_5845"
"sec_3588","comp_2572"
"sec_9526","comp_6483"
"sec_20333","comp_5885"
"sec_8636","comp_5885"
"sec_4552","comp_3154"
"sec_9635","comp_3154"
"sec_3093","comp_2273"
"sec_18899","comp_12649"
"sec_4226","comp_2941"
"sec_20582","comp_2941"
"sec_4225","comp_2941"
"sec_4227","comp_2941"
"sec_4229","comp_2941"
"sec_4228","comp_2941"
"sec_20584","comp_2941"
"sec_16751","comp_11254"
"sec_16962","comp_11254"
"sec_14692","comp_9942"
"sec_16726","comp_1063"
"sec_7216","comp_1063"
"sec_1623","comp_1063"
"sec_1235","comp_1063"
"sec_1574","comp_1063"
"sec_16427","comp_1063"
"sec_15539","comp_1063"
"sec_1857","comp_1489"
"sec_1620","comp_1330"
"sec_1625","comp_1330"
"sec_7008","comp_1330"
"sec_1622","comp_1330"
"sec_16744","comp_11249"
"sec_454","comp_383"
"sec_3884","comp_2733"
"sec_10094","comp_6869"
"sec_16436","comp_11046"
"sec_10249","comp_6980"
"sec_10373","comp_7054"
"sec_3162","comp_341"
"sec_1354","comp_341"
"sec_1356","comp_341"
"sec_3161","comp_341"
"sec_1358","comp_341"
"sec_1357","comp_341"
"sec_1355","comp_341"
"sec_398","comp_341"
"sec_6642","comp_4489"
"sec_20324","comp_13445"
"sec_20320","comp_13445"
"sec_8612","comp_5865"
"sec_11247","comp_7666"
"sec_11246","comp_7666"
"sec_20648","comp_7666"
"sec_15717","comp_10602"
"sec_17906","comp_7669"
"sec_17910","comp_7669"
